Date,Open,High,Low,Close,Volume,OpenInt
2021-12-29,4781,4781,4781,4781,0,895
2021-12-30,4767,4767,4767,4767,0,895
2021-12-31,4753,4753,4753,4753,0,895
2022-01-03,4784.5,4784.5,4784.5,4784.5,0,895
2022-01-04,4786.5,4786.5,4786.5,4786.5,0,895
2022-01-05,4693.75,4693.75,4693.75,4693.75,0,895
2022-01-06,4691.75,4691.75,4691.75,4691.75,0,895
2022-01-07,4673.75,4673.75,4673.75,4673.75,0,895
2022-01-10,4669,4669,4669,4669,0,895
2022-01-11,4708.75,4708.75,4708.75,4708.75,0,895
2022-01-12,4721.5,4721.5,4721.5,4721.5,0,895
2022-01-13,4652.5,4652.5,4652.5,4668.5,0,895
2022-01-14,4668.5,4668.5,4668.5,4668.5,0,895
2022-01-18,4582.5,4582.5,4582.5,4582.5,0,895
2022-01-19,4536.5,4536.5,4536.5,4536.5,0,895
2022-01-20,4511.5,4486.5,4486.5,4486.5,0,895
2022-01-21,4400.5,4400.5,4400.5,4400.5,0,895
2022-01-24,4411.5,4411.5,4411.5,4411.5,0,895
2022-01-25,4354,4354,4354,4354,51,946
2022-01-26,4349.25,4349.25,4349.25,4349.25,0,946
2022-01-27,4324,4324,4324,4324,0,946
2022-01-28,4436.5,4436.5,4436.5,4436.5,0,946
2022-01-31,4527.75,4527.75,4527.75,4527.75,143,1038
2022-02-01,4561.75,4561.75,4561.75,4561.75,0,1038
2022-02-02,4597.75,4597.75,4597.75,4597.75,0,1038
2022-02-03,4488.25,4488.25,4488.25,4488.25,0,1038
2022-02-04,4526.25,4526.25,4526.25,4526.25,0,1038
2022-02-07,4504.25,4504.25,4504.25,4504.25,0,1038
2022-02-08,4546.25,4546.25,4546.25,4546.25,0,1038
2022-02-09,4613.25,4613.25,4613.25,4613.25,0,1038
2022-02-10,4548.25,4548.25,4548.25,4548.25,0,1038
2022-02-11,4460,4460,4460,4460,0,1038
2022-02-14,4440,4440,4440,4440,0,1038
2022-02-15,4506.75,4506.75,4506.75,4506.75,0,1038
2022-02-16,4510.75,4510.75,4510.75,4510.75,0,1038
2022-02-17,4413.75,4413.75,4413.75,4413.75,0,1038
2022-02-18,4376.75,4376.75,4376.75,4376.75,0,1038
2022-02-22,4341.75,4341.75,4341.75,4341.75,0,1038
2022-02-23,4262.25,4262.25,4262.25,4262.25,0,1038
2022-02-24,4317.25,4317.25,4317.25,4317.25,0,1038
2022-02-25,4415.25,4415.25,4415.25,4415.25,0,1038
2022-02-28,4396,4396,4396,4396,0,1038
2022-03-01,4316.5,4316.5,4316.5,4316.5,0,1038
2022-03-02,4416.5,4416.5,4416.5,4416.5,0,1038
2022-03-03,4396.5,4396.5,4396.5,4396.5,0,1038
2022-03-04,4365,4365,4365,4365,0,1038
2022-03-07,4230,4230,4230,4230,0,1038
2022-03-08,4210,4210,4210,4210,0,1038
2022-03-09,4322,4322,4322,4322,0,1038
2022-03-10,4303,4303,4303,4303,0,1038
2022-03-11,4248,4248,4248,4248,0,1038
2022-03-14,4228,4228,4228,4228,0,1038
2022-03-15,4317,4317,4317,4317,0,1038
2022-03-16,4421.5,4421.5,4421.5,4421.5,0,1038
2022-03-17,4473.5,4473.5,4473.5,4473.5,0,1038
2022-03-18,4526,4526,4526,4526,0,1038
2022-03-21,4532,4532,4532,4532,0,1038
2022-03-22,4597,4597,4597,4597,0,1038
2022-03-23,4537,4537,4537,4537,0,1038
2022-03-24,4605,4605,4605,4605,0,1038
2022-03-25,4638,4638,4638,4638,0,1038
2022-03-28,4675,4675,4675,4675,0,1038
2022-03-29,4734,4734,4734,4734,0,1038
2022-03-30,4700.75,4700.75,4700.75,4700.75,0,1038
2022-03-31,4636.75,4636.75,4636.75,4636.75,0,1038
2022-04-01,4651.25,4651.25,4651.25,4651.25,0,1038
2022-04-04,4690.25,4690.25,4690.25,4690.25,0,1038
2022-04-05,4639.25,4639.25,4639.25,4639.25,0,1038
2022-04-06,4594.25,4594.25,4594.25,4594.25,0,1038
2022-04-07,4609.25,4609.25,4609.25,4609.25,34,1038
2022-04-08,4597,4597,4597,4597,0,1038
2022-04-11,4522,4522,4522,4522,0,1038
2022-04-12,4497,4497,4497,4497,0,1038
2022-04-13,4547,4547,4547,4547,0,1038
2022-04-14,4498,4498,4498,4498,34,1038
2022-04-18,4498.25,4498.25,4498.25,4498.25,0,1038
2022-04-19,4578.25,4578.25,4578.25,4578.25,0,1038
2022-04-20,4575,4575,4575,4575,0,1038
2022-04-21,4515,4515,4515,4515,0,1038
2022-04-22,4393,4393,4393,4393,0,1038
2022-04-25,4407,4407,4407,4407,0,1038
2022-04-26,4277,4277,4277,4277,0,1038
2022-04-27,4301,4301,4301,4301,0,1038
2022-04-28,4398,4398,4398,4398,0,1038
2022-04-29,4248,4248,4248,4248,0,1038
2022-05-02,4262,4262,4262,4262,0,1038
2022-05-03,4282,4282,4282,4282,0,1038
2022-05-04,4407,4407,4407,4407,62,1038
2022-05-05,4245,4245,4245,4245,0,1038
2022-05-06,4225,4225,4225,4225,173,1211
2022-05-09,4082,4082,4082,4082,0,1211
2022-05-10,4092,4092,4092,4092,0,1211
2022-05-11,4025,4025,4025,4025,0,1211
2022-05-12,4015,4015,4015,4015,70,1281
2022-05-13,4110,4110,4110,4110,0,1281
2022-05-16,4100,4100,4100,4100,0,1281
2022-05-17,4188,4188,4188,4188,0,1281
2022-05-18,4023,4023,4023,4023,0,1281
2022-05-19,3997,3997,3997,3997,0,1281
2022-05-20,3988,3988,3988,3988,0,1281
2022-05-23,4052,4052,4052,4052,0,1281
2022-05-24,4026,4026,4026,4026,0,1281
2022-05-25,4063,4063,4063,4063,0,1281
